StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
alf.27.nea,demersal,NA,NA,240,NA,NA,NA,2018,2017,NA,NA,NA,GREY,130460
bli.27.5b67,demersal,0.25,2669,2669,NA,0.12,0.03,2018,2018,1.35334666666667,101501,75000,GREEN,130460
bli.27.nea,demersal,NA,NA,348,0,NA,NA,2019,2018,NA,NA,NA,GREY,130460
cod.27.21,demersal,NA,284,212,72,NA,1.079,2019,2019,NA,0.207,NA,GREY,130460
cod.27.47d20,demersal,2.06451612903226,50573,41433,9139,0.31,0.64,2019,2019,0.5365,80475,150000,RED,130460
cod.27.7e-k,demersal,2.35977337110482,1565,1385,180,0.353,0.833,2019,2019,0.125242718446602,1290,10300,RED,130460
gfb.27.nea,demersal,NA,2016,1503,513,NA,NA,2018,2017,NA,1,NA,GREY,130460
gug.27.3a47d,demersal,NA,17121,3451,13670,NA,NA,2018,2018,NA,17,NA,GREY,130460
gur.27.3-8,demersal,NA,NA,4018,NA,NA,NA,2019,2018,NA,NA,NA,GREY,130460
had.27.46a20,demersal,1.17894736842105,39524,34470,5032,0.19,0.224,2019,2019,1.79500757575758,236941,132000,RED,130460
had.27.7b-k,demersal,1.9325,12546,7109,5436,0.4,0.773,2019,2019,1.4205,14205,10000,RED,130460
hke.27.3a46-8abd,demersal,0.814814814814815,96188,89695,6493,0.27,0.22,2019,2019,5.09591071428571,285371,56000,GREEN,130460
lin.27.3a4a6-91214,demersal,NA,NA,20688,1012,NA,NA,2019,2018,NA,144.62,NA,GREY,130460
mur.27.3a47d,demersal,NA,1648,1648,NA,NA,2.077,2019,2018,NA,0.591,NA,GREY,130460
mur.27.67a-ce-k89a,demersal,NA,NA,1726,NA,NA,NA,2017,2016,NA,NA,NA,GREY,130460
ory.27.nea,demersal,NA,NA,90,NA,NA,NA,2016,2015,NA,NA,NA,GREY,130460
pok.27.3a46,demersal,0.986225895316804,94334,86540,7752,0.363,0.358,2019,2019,1.52993333243907,228110,149098,GREEN,130460
pol.27.3a4,demersal,NA,1906,1904,2,NA,NA,2018,2017,NA,NA,NA,GREY,130460
rng.27.1245a8914ab,demersal,NA,NA,240,NA,NA,NA,2019,2018,NA,NA,NA,GREY,130460
rng.27.3a,demersal,NA,NA,1,2,NA,NA,2018,2017,NA,7,NA,GREY,130460
rng.27.5b6712b,demersal,NA,NA,1662,NA,NA,NA,2018,2017,NA,NA,NA,GREY,130460
san.27.6a,demersal,NA,NA,0,NA,NA,NA,2018,2017,NA,NA,NA,GREY,130460
san.sa.1r,demersal,NA,130460,130460,NA,NA,0.633,2019,2019,NA,97636,NA,GREY,130460
san.sa.2r,demersal,NA,20568,20568,NA,NA,0.206,2019,2019,NA,55770,NA,GREY,130460
san.sa.3r,demersal,NA,74933,74933,NA,NA,0.342,2019,2019,NA,182590,NA,GREY,130460
san.sa.4,demersal,NA,42526,42526,NA,NA,0.152,2019,2019,NA,169058,NA,GREY,130460
san.sa.5r,demersal,NA,0,NA,NA,NA,NA,2019,2018,NA,NA,NA,GREY,130460
san.sa.6,demersal,NA,0,NA,NA,NA,NA,2019,2018,NA,NA,NA,GREY,130460
san.sa.7r,demersal,NA,0,NA,NA,NA,NA,2019,2018,NA,NA,NA,GREY,130460
sbr.27.6-8,demersal,NA,125,124,1,NA,NA,2018,2017,NA,NA,NA,GREY,130460
usk.27.3a45b6a7-912b,demersal,NA,NA,4411,96,NA,NA,2019,2018,NA,142.344,NA,GREEN,130460
whg.27.3a,demersal,NA,1743,372,1371,NA,NA,2019,2018,NA,NA,NA,GREY,130460
whg.27.47d,demersal,1.15697674418605,28083,16444,9896,0.172,0.199,2019,2019,0.980192912157785,163406,166708,RED,130460
whg.27.7b-ce-k,demersal,1.19230769230769,NA,8773,1495,0.52,0.62,2019,2019,0.4978,17423,35000,RED,130460
